"alert__week","alert__year","alert__count","confidence__cat"
37,2013,8,"n"
36,2013,40,"n"
36,2013,2,"l"
36,2013,1,"h"
35,2013,16,"n"
35,2013,1,"l"
34,2013,58,"n"
34,2013,4,"l"
34,2013,10,"h"
33,2013,7,"h"
33,2013,9,"l"
33,2013,78,"n"
32,2013,1,"l"
32,2013,14,"n"
32,2013,1,"h"
31,2013,17,"n"
30,2013,3,"h"
30,2013,105,"n"
30,2013,6,"l"
29,2013,23,"n"
29,2013,3,"l"
29,2013,3,"h"
28,2013,52,"n"
28,2013,1,"h"
27,2013,35,"h"
27,2013,20,"l"
27,2013,178,"n"
26,2013,83,"h"
26,2013,57,"l"
26,2013,808,"n"
25,2013,2386,"n"
25,2013,471,"h"
25,2013,260,"l"
24,2013,31,"l"
24,2013,564,"n"
24,2013,62,"h"
23,2013,30,"n"
23,2013,3,"l"
22,2013,26,"n"
22,2013,1,"h"
21,2013,2,"l"
21,2013,14,"n"
20,2013,28,"n"
20,2013,5,"h"
20,2013,1,"l"
19,2013,1,"h"
19,2013,22,"n"
19,2013,1,"l"
18,2013,3,"h"
18,2013,41,"n"
18,2013,2,"l"
17,2013,1,"l"
17,2013,44,"n"
17,2013,3,"h"
16,2013,10,"n"
15,2013,3,"n"
14,2013,2,"l"
14,2013,36,"n"
14,2013,1,"h"
13,2013,35,"n"
13,2013,4,"l"
12,2013,17,"n"
11,2013,4,"l"
11,2013,1,"h"
11,2013,58,"n"
10,2013,35,"n"
10,2013,1,"l"
9,2013,13,"n"
8,2013,10,"n"
7,2013,16,"n"
7,2013,1,"l"
6,2013,25,"n"
5,2013,20,"n"
4,2013,29,"n"
3,2013,12,"n"
2,2013,6,"n"
1,2013,7,"n"
1,2013,2,"l"
51,2012,6,"n"
50,2012,11,"n"
49,2012,28,"n"
48,2012,2,"h"
48,2012,126,"n"
47,2012,1,"h"
47,2012,29,"n"
46,2012,11,"n"
45,2012,7,"h"
45,2012,6,"l"
45,2012,123,"n"
44,2012,113,"n"
44,2012,4,"l"
44,2012,10,"h"
43,2012,2,"l"
43,2012,10,"h"
43,2012,78,"n"
42,2012,12,"h"
42,2012,105,"n"
42,2012,3,"l"
41,2012,2,"h"
41,2012,66,"n"
41,2012,5,"l"
40,2012,3,"h"
40,2012,57,"n"
40,2012,2,"l"
39,2012,22,"n"
38,2012,40,"n"
37,2012,12,"n"
36,2012,9,"l"
36,2012,27,"n"
36,2012,1,"h"
35,2012,54,"n"
35,2012,1,"h"
35,2012,2,"l"
34,2012,2,"h"
34,2012,29,"n"
33,2012,2,"l"
33,2012,42,"n"
33,2012,2,"h"
32,2012,3,"l"
32,2012,5,"h"
32,2012,37,"n"
31,2012,185,"n"
31,2012,1,"l"
31,2012,11,"h"
30,2012,1,"h"
30,2012,29,"n"
30,2012,4,"l"
29,2012,88,"n"
29,2012,23,"h"
29,2012,7,"l"
28,2012,19,"n"
28,2012,1,"h"
28,2012,6,"l"
27,2012,10,"l"
27,2012,55,"n"
27,2012,2,"h"
26,2012,1107,"n"
26,2012,135,"l"
26,2012,140,"h"
25,2012,1970,"n"
25,2012,345,"h"
25,2012,105,"l"
24,2012,73,"h"
24,2012,1389,"n"
24,2012,39,"l"
23,2012,786,"n"
23,2012,159,"h"
23,2012,58,"l"
22,2012,260,"n"
22,2012,11,"h"
22,2012,7,"l"
21,2012,388,"n"
21,2012,23,"h"
21,2012,33,"l"
20,2012,5,"l"
20,2012,2,"h"
20,2012,83,"n"
19,2012,3,"l"
19,2012,13,"n"
19,2012,1,"h"
18,2012,7,"l"
18,2012,44,"n"
18,2012,10,"h"
17,2012,1,"h"
17,2012,32,"n"
17,2012,6,"l"
16,2012,5,"h"
16,2012,4,"l"
16,2012,39,"n"
15,2012,46,"n"
15,2012,12,"h"
15,2012,3,"l"
14,2012,51,"n"
14,2012,3,"l"
13,2012,20,"l"
13,2012,4,"h"
13,2012,102,"n"
12,2012,55,"n"
12,2012,5,"l"
11,2012,136,"n"
11,2012,20,"h"
11,2012,25,"l"
10,2012,11,"h"
10,2012,5,"l"
10,2012,94,"n"
9,2012,5,"l"
9,2012,36,"n"
9,2012,10,"h"
8,2012,40,"n"
7,2012,2,"l"
7,2012,7,"h"
7,2012,52,"n"
6,2012,9,"n"
5,2012,16,"n"
4,2012,10,"n"
4,2012,2,"l"
4,2012,1,"h"
3,2012,6,"n"
