year,fire_count,mean_frp
2015,6528,4840.596837433808
2016,17172,9291.881808089322
2017,11904,7705.85057029631
2018,12935,2614.9097611483216
2019,2867,2277.4274862899756
2020,22803,3518.049618697186
2021,3030,2188.641214163279
2022,1712,1573.9653332182033
2023,2760,1912.4157703229446
2024,2399,1992.7224854560939
