acq_date,fire_count,mean_frp,soil_temp_level_1,soil_moisture_level_1
2016-03-10,96,20.45,,
2016-03-11,12,8.5,,
2016-03-12,108,24.43333333333333,,
2016-03-13,96,26.337500000000002,,
2016-03-14,36,6.300000000000001,,
2016-03-15,48,68.925,,
2016-03-16,36,12.666666666666666,,
2016-03-17,168,36.51428571428571,,
2016-03-18,24,13.0,,
2016-03-20,12,8.2,,
2016-04-01,24,17.400000000000002,,
2016-04-02,48,30.8,,
2016-04-03,180,88.32000000000001,,
2016-04-04,36,14.566666666666666,,
2016-04-06,132,47.99090909090909,,
2016-04-07,60,34.879999999999995,,
2016-04-10,12,7.8,,
2016-04-11,24,49.949999999999996,,
2016-04-13,24,32.85,,
2016-04-14,84,50.68571428571429,,
2016-04-22,24,12.700000000000001,,
2016-05-02,12,13.6,,
2016-05-03,24,5.1,,
2016-05-04,36,23.966666666666665,,
2016-05-05,12,11.0,,
2016-05-10,36,36.8,,
2016-05-11,24,29.95,,
2016-05-12,36,4.166666666666667,,
2016-05-13,24,43.150000000000006,,
2016-05-20,24,33.2,,
2016-05-21,60,22.06,,
2016-05-23,12,34.3,,
2016-05-24,12,27.600000000000005,,
2016-05-25,12,79.7,,
2016-05-26,72,32.81666666666666,,
2016-05-28,60,15.2,,
2016-05-29,48,38.375,,
2016-06-02,12,6.7,,
2016-06-03,12,13.300000000000002,,
2016-06-06,24,66.15,,
2016-06-16,300,113.048,,
2016-06-17,36,68.83333333333333,,
2016-06-18,36,10.633333333333333,,
2016-06-19,48,21.125,,
2016-06-20,204,125.21176470588236,,
2016-06-21,432,492.3611111111111,,
2016-06-22,288,182.05416666666667,,
2016-06-23,48,40.375,,
2016-06-24,48,106.8,,
2016-06-25,72,119.28333333333333,,
2016-06-26,156,75.46153846153847,,
2016-06-27,204,191.85294117647058,,
2016-06-28,444,110.10810810810811,,
2016-06-29,120,34.07,,
2016-07-06,24,10.25,,
2016-07-07,24,25.0,,
2016-07-08,120,64.92,,
2016-07-09,384,76.2,,
2016-07-10,300,488.20400000000006,,
2016-07-11,1908,177.0440251572327,,
2016-07-12,360,241.23666666666665,,
2016-07-13,336,197.48214285714286,,
2016-07-14,180,61.35333333333334,,
2016-07-15,168,48.207142857142856,,
2016-07-16,216,109.3111111111111,,
2016-07-17,360,228.5533333333333,,
2016-07-18,180,37.38666666666667,,
2016-07-20,60,52.4,,
2016-07-22,72,54.35,,
2016-07-24,12,13.300000000000002,,
2016-07-25,60,33.96,,
2016-07-27,492,79.6219512195122,,
2016-07-28,384,66.89375,,
2016-07-29,240,41.3,,
2016-07-30,252,65.33809523809524,,
2016-07-31,120,107.6,,
2016-08-01,432,324.8111111111111,,
2016-08-02,96,271.71250000000003,,
2016-08-03,72,27.21666666666667,,
2016-08-04,36,23.46666666666667,,
2016-08-08,12,52.0,,
2016-08-10,24,109.25,,
2016-08-12,24,14.050000000000002,,
2016-08-13,48,21.099999999999998,,
2016-08-14,60,64.39999999999999,,
2016-08-15,12,10.6,,
2016-08-17,24,20.650000000000002,,
2016-08-20,12,43.5,,
2016-08-21,84,39.87142857142857,,
2016-08-23,108,61.577777777777776,,
2016-08-25,84,48.58571428571428,,
2016-08-27,12,9.8,,
2016-08-30,12,25.5,,
2016-09-03,12,79.6,,
2016-09-04,84,77.02857142857142,,
2016-09-05,12,13.1,,
2016-09-06,96,52.512499999999996,,
2016-09-07,60,50.080000000000005,,
2016-09-08,168,78.8,,
2016-09-09,252,67.89523809523808,,
2016-09-10,96,68.4,,
2016-09-11,492,162.99512195121952,,
2016-09-12,96,43.050000000000004,,
2016-09-15,72,33.46666666666667,,
2016-09-16,132,32.381818181818176,,
2016-09-17,24,11.799999999999999,,
2016-09-18,120,45.519999999999996,,
2016-09-19,24,60.4,,
2016-09-22,12,12.199999999999998,,
2016-09-25,12,10.0,,
2016-09-26,24,10.0,,
2016-09-28,168,59.457142857142856,,
2016-09-29,36,20.8,,
2016-10-04,108,28.72222222222222,,
2016-10-05,24,177.04999999999998,,
2016-10-07,12,8.2,,
2016-10-08,168,59.457142857142856,,
2016-10-09,36,61.633333333333326,,
2016-10-10,48,38.0,,
2016-10-12,12,28.0,,
2016-10-13,156,26.46923076923077,,
2016-10-14,36,18.400000000000002,,
2016-10-15,60,22.3,,
2016-10-17,960,139.74125,,
2016-10-18,168,42.80714285714286,,
2016-10-19,48,20.625,,
2016-10-20,12,33.2,,
2016-10-22,156,82.77692307692308,,
2016-10-23,12,8.9,,
2016-10-24,24,39.199999999999996,,
2016-10-27,24,33.85,,
2016-10-28,24,16.15,,
2016-10-31,48,19.25,,
2016-11-02,36,15.5,,
2016-11-03,36,14.1,,
2016-11-05,12,57.29999999999999,,
2016-11-08,24,19.75,,
2016-11-09,24,4.6000000000000005,,
2016-11-11,24,8.95,,
2016-11-14,24,5.55,,
2016-11-15,60,22.279999999999998,,
2016-11-16,12,11.699999999999998,,
2016-11-20,24,10.65,,
2016-11-30,60,26.32,,
2016-12-05,36,33.13333333333333,,
2016-12-07,12,29.5,,
2016-12-16,24,49.050000000000004,,
2016-12-27,12,19.0,,
2017-01-12,12,10.5,,
2017-01-20,12,81.7,,
2017-01-28,24,10.05,,
2017-02-10,12,13.9,,
2017-02-11,24,33.25,,
2017-02-15,60,26.860000000000003,,
2017-02-17,48,11.700000000000001,,
2017-02-20,48,14.1,,
2017-02-21,36,47.233333333333334,,
2017-02-22,36,22.799999999999997,,
2017-02-25,24,48.5,,
2017-02-27,120,36.98,,
2017-03-02,36,18.8,,
2017-03-03,156,12.546153846153846,,
2017-03-04,84,21.2,,
2017-03-05,24,13.25,,
2017-03-06,228,77.44736842105263,,
2017-03-07,12,7.900000000000001,,
2017-03-08,156,20.853846153846156,,
2017-03-09,36,32.13333333333334,,
2017-03-10,24,75.60000000000001,,
2017-03-12,24,7.7,,
2017-03-14,12,9.6,,
2017-03-15,180,44.086666666666666,,
2017-03-16,60,45.84,,
2017-03-17,60,26.42,,
2017-03-18,84,26.95714285714286,,
2017-03-19,24,6.6499999999999995,,
2017-03-21,12,15.1,,
2017-03-22,36,17.833333333333332,,
2017-03-23,144,180.78333333333333,,
2017-03-27,72,35.150000000000006,,
2017-03-30,12,20.5,,
2017-04-04,12,16.0,,
2017-04-06,12,5.8,,
2017-04-07,12,23.0,,
2017-04-10,36,48.43333333333334,,
2017-04-11,60,11.2,,
2017-04-12,48,61.15,,
2017-04-13,144,10.8,,
2017-04-14,228,102.81052631578947,,
2017-04-15,60,10.639999999999999,,
2017-04-16,12,7.400000000000001,,
2017-04-17,24,44.599999999999994,,
2017-04-18,24,31.200000000000003,,
2017-04-19,12,45.1,,
2017-04-20,36,34.13333333333333,,
2017-04-21,36,38.86666666666667,,
2017-04-25,72,48.7,,
2017-05-02,12,50.1,,
2017-05-03,12,42.4,,
2017-05-04,48,24.625,,
2017-05-05,12,86.8,,
2017-05-06,24,18.8,,
2017-05-08,60,39.440000000000005,,
2017-05-15,36,40.0,,
2017-05-16,36,66.4,,
2017-05-17,24,17.349999999999998,,
2017-05-20,12,6.0,,
2017-05-24,12,10.2,,
2017-05-25,24,12.0,,
2017-05-26,48,24.825000000000003,,
2017-05-30,48,32.5,,
2017-05-31,48,10.775,,
2017-06-01,72,59.88333333333334,,
2017-06-02,36,10.333333333333334,,
2017-06-03,24,25.099999999999998,,
2017-06-05,48,39.475,,
2017-06-09,108,112.9,,
2017-06-10,24,24.55,,
2017-06-11,120,187.67999999999998,,
2017-06-12,720,156.43833333333333,,
2017-06-13,144,27.766666666666666,,
2017-06-14,24,20.95,,
2017-06-17,36,12.200000000000001,,
2017-06-19,24,71.95,,
2017-06-24,12,53.79999999999999,,
2017-06-29,36,14.466666666666669,,
2017-07-01,12,51.20000000000001,,
2017-07-03,156,93.53846153846153,,
2017-07-04,144,454.4916666666666,,
2017-07-05,456,59.92894736842105,,
2017-07-06,468,192.45897435897436,,
2017-07-07,144,52.26666666666667,,
2017-07-08,180,111.58000000000001,,
2017-07-09,60,51.46,,
2017-07-10,12,84.2,,
2017-07-14,36,51.333333333333336,,
2017-07-15,12,7.2,,
2017-07-19,12,29.7,,
2017-07-22,24,48.6,,
2017-07-23,12,28.399999999999995,,
2017-07-26,12,16.4,,
2017-08-01,36,16.166666666666668,,
2017-08-05,12,14.300000000000002,,
2017-08-10,36,35.099999999999994,,
2017-08-15,24,48.25,,
2017-08-19,36,70.36666666666667,,
2017-08-26,12,15.199999999999998,,
2017-08-27,60,24.36,,
2017-08-28,24,34.75,,
2017-08-29,60,13.2,,
2017-08-30,12,47.1,,
2017-08-31,36,9.333333333333334,,
2017-09-02,48,80.425,,
2017-09-03,120,132.25,,
2017-09-04,72,24.683333333333334,,
2017-09-05,456,127.19473684210526,,
2017-09-06,252,243.53809523809522,,
2017-09-07,456,38.08421052631579,,
2017-09-08,108,34.15555555555556,,
2017-09-09,132,27.327272727272724,,
2017-09-10,120,40.28,,
2017-09-11,12,51.4,,
2017-09-12,36,43.86666666666667,,
2017-09-14,12,5.900000000000001,,
2017-09-18,48,133.25,,
2017-09-21,240,160.86499999999998,,
2017-09-22,72,49.733333333333334,,
2017-09-24,24,11.799999999999999,,
2017-09-26,12,19.3,,
2017-09-30,12,3.9,,
2017-10-02,12,6.8,,
2017-10-04,12,4.3,,
2017-10-06,12,11.199999999999998,,
2017-10-10,12,30.3,,
2017-10-11,24,28.75,,
2017-10-12,24,20.0,,
2017-10-15,36,12.833333333333334,,
2017-10-16,84,19.3,,
2017-10-17,96,54.0875,,
2017-10-18,108,18.11111111111111,,
2017-10-19,132,80.36363636363636,,
2017-10-20,36,33.23333333333333,,
2017-10-22,36,6.433333333333334,,
2017-10-23,48,33.875,,
2017-10-24,84,36.12857142857143,,
2017-10-25,348,32.48620689655173,,
2017-10-29,144,44.45,,
2017-11-03,24,31.299999999999997,,
2017-11-07,24,99.35000000000001,,
2017-11-08,12,14.199999999999998,,
2017-11-09,24,122.14999999999999,,
2017-11-10,36,66.16666666666667,,
2017-11-11,72,37.63333333333333,,
2017-11-13,108,99.32222222222221,,
2017-11-14,60,63.7,,
2017-11-15,84,87.21428571428571,,
2017-11-16,84,37.11428571428572,,
2017-11-24,24,12.799999999999999,,
2017-11-26,24,6.699999999999999,,
2017-11-28,12,5.5,,
2017-11-29,156,114.86153846153847,,
